# tools/english/messages.tsv — Diagnose- und Ausgabetexte, deutsch -> englisch.
# Links steht der EXAKTE Rumpf des Zeichenkettenliterals aus dem Quelltext
# (mit Maskierungen wie \0, \n, \"), rechts der englische Rumpf.
# Beide Uebersetzer teilen diese Tabelle, damit firnc0 und firnc1
# ZEICHENGLEICHE Meldungen ausgeben. Angewandt von messages.py.
    # asm (volatile): darf weder entfernt noch verschoben werden	    # asm (volatile): must be neither removed nor moved
    # barrier: undurchsichtig fuer jeden Optimierungsdurchgang	    # barrier: opaque to every optimization pass
  (struct {} groesse {} ausrichtung {}	  (struct {} size {} align {}
 (arg {} groesse {} klasse {})	 (arg {} size {} class {})
 (erwartet zahl.zahl.zahl)\0	 (expected number.number.number)\0
 (feld 	 (field 
 (feld {} versatz {} groesse {} ausrichtung {} typ {})	 (field {} offset {} size {} align {} type {})
 (feld {} {})	 (field {} {})
 (relativ, ohne '..')\0	 (relative, without '..')\0
 (ret {} groesse {} klasse {} sret {})	 (ret {} size {} class {} sret {})
 Fehler gefunden	 errors found
 die letzte VERWENDUNG und „Anfang	 the last USE and "start
 groesse 	 size 
 hat kein manifest\0	 has no manifest\0
 heisst wie das paket selbst\0	 has the same name as the package itself\0
 in einem Str-literal; Str ist geprueftes UTF-8 — benutze u\"...\" (Str16)	 in a Str literal; Str is checked UTF-8 — use u\"...\" (Str16)
 ist in paket \0	 is in package \0
 ist keine abhaengigkeit von paket \0	 is not a dependency of package \0
 kommt aus zwei dateien\0	 comes from two files\0
 nicht lesen\0	 not read\0
 nicht oeffentlich\0	 not public\0
 steht mehrfach als abhaengigkeit im manifest\0	 appears more than once as a dependency in the manifest\0
 steht mehrfach im manifest\0	 appears more than once in the manifest\0
 steht mehrfach in 'public'\0	 appears more than once in 'public'\0
 typ 	 type 
 und 	 and 
 und \0	 and \0
 und „setcc+movzx+store	 and "setcc+movzx+store
 zeigt auf paket \0	 points to package \0
# asm (volatile): darf weder entfernt noch verschoben werden	# asm (volatile): must be neither removed nor moved
# erzeugt von {} {} — eigener x86_64-Codegenerator (kein LLVM)	# generated by {} {} — own x86_64 code generator (no LLVM)
#[constant_time]: bedingter Sprung in '{}' haengt von einem secret-Wert (%{}) ab	#[constant_time]: conditional jump in '{}' depends on a secret value (%{})
#[constant_time]: switch in '{}' haengt von einem secret-Wert (%{}) ab	#[constant_time]: switch in '{}' depends on a secret value (%{})
' ist in einem Bytes-literal nicht erlaubt, schreibe die oktette als \\xNN	' is not allowed in a Bytes literal, write the octets as \\xNN
'--list-attrs' zeigt alle bekannten attribute	'--list-attrs' shows all known attributes
'..' im pfad — der zugriff bleibt im verzeichnis der quelldatei	'..' in the path — access stays inside the directory of the source file
'.as?[T]' prueft nur innerhalb einer vererbungskette (SPEC 4.4)	'.as?[T]' only checks within an inheritance chain (SPEC 4.4)
'.as?[{}]' erwartet einen Gc[T], gefunden {}	'.as?[{}]' expects a Gc[T], found {}
'barrier' arbeitet nur auf skalaren werten, gefunden {}	'barrier' only works on scalar values, found {}
'barrier' mit falscher argumentzahl im lowering	'barrier' with wrong argument count in lowering
'break' ausserhalb einer schleife	'break' outside a loop
'catch' erwartet links einen wert einer fehlerunion, gefunden {}	'catch' expects a value of an error union on the left, found {}
'catch' ohne fehlerunion	'catch' without error union
'catch' ohne zwei operanden	'catch' without two operands
'const' unterstuetzt in stufe 0 nur ganzzahl- und bool-typen	'const' supports only integer and bool types in stage 0
'continue' ausserhalb einer schleife	'continue' outside a loop
'defer' ausserhalb eines blocks	'defer' outside a block
'defer' und 'errdefer' sind zur uebersetzungszeit nicht erlaubt	'defer' and 'errdefer' are not allowed at compile time
'errdefer' und die weitergabe einer fertigen fehlerunion vertragen sich in stufe 0 nicht: hier steht erst zur laufzeit fest, ob der fehlerpfad genommen wird — schreibe 'return try …' oder gib den fehler mit 'return E::Variante' zurueck	'errdefer' and passing on a finished error union do not go together in stage 0: here it is only known at run time whether the error path is taken — write 'return try …' or return the error with 'return E::Variant'
'extern fn' wird in Stufe 0 nicht unterstuetzt	'extern fn' is not supported in stage 0
'gc class {}' hat kein feld '{}'	'gc class {}' has no field '{}'
'gc class {}' ist bereits deklariert	'gc class {}' is already declared
'gc class' braucht den tracing-sammler; im profil 'kernel' gibt es keine GC-typen	'gc class' needs the tracing collector; there are no GC types in profile 'kernel'
